name_fr;name_en;description_fr;description_en
Déco;Decoration;;;
Bureau;Office;;;
Présidence;Presidency;;;
Trésorerie;Treasury;;;
Secrétariat Général;General Secretariat;;;
Accueil;Reception;;;
Agenda;Schedule;;;
Alumni;Alumni;;;
Audio-Visuel;Audio-Visual;;;
Campagne;Campaign;;;
Communication;Communication;;;
Courrier;Mail;;;
Environnement;Environment;;;
Foyer;Lounge;;;
IPP;IPP;;;
Infographie;Graphic Design;;;
Informatique;IT;;;
Intégration des Internationaux;International Integration;;;
Mail;Email;;;
Maxi Mardi;Maxi Tuesday;;;
Parrainage;Sponsorship;;;
Pots;Gatherings;;;
Prévention Alcool;Alcohol Prevention;;;
Relations Entreprises;Corporate Relations;;;
REC;REC;;;
Repas de Promo;Class Dinner;;;
Réserve Alcool;Alcohol Reserve;;;
Sécurité;Security;;;
Textile;Textile;;;
WEE;WEE;;;
WEFA;WEFA;;;
WEI;WEI;;;
WES;WES;;;
